	Opcode								Hexa	Load	Store	Signal7	Signal6	Signal5	Signal4	Signal3	Signal2	selDataIn (1)	selDataOut (0)
- nop	0	0	0	0	0	0	0	0	0h	-	-	-	-	-	-	-	-	-	-
	0	0	0	0	0	0	0	1	1h	-	-	-	-	-	-	-	-	-	-
	0	0	0	0	0	0	1	0	2h	-	-	-	-	-	-	-	-	-	-
	0	0	0	0	0	0	1	1	3h	-	-	-	-	-	-	-	-	-	-
	0	0	0	0	0	1	0	0	4h	-	-	-	-	-	-	-	-	-	-
	0	0	0	0	0	1	0	1	5h	-	-	-	-	-	-	-	-	-	-
	0	0	0	0	0	1	1	0	6h	-	-	-	-	-	-	-	-	-	-
	0	0	0	0	0	1	1	1	7h	-	-	-	-	-	-	-	-	-	-
. halt	0	0	0	0	1	0	0	0	8h	-	-	-	-	-	-	-	-	-	-
	0	0	0	0	1	0	0	1	9h	-	-	-	-	-	-	-	-	-	-
	0	0	0	0	1	0	1	0	Ah	-	-	-	-	-	-	-	-	-	-
	0	0	0	0	1	0	1	1	Bh	-	-	-	-	-	-	-	-	-	-
	0	0	0	0	1	1	0	0	Ch	-	-	-	-	-	-	-	-	-	-
	0	0	0	0	1	1	0	1	Dh	-	-	-	-	-	-	-	-	-	-
	0	0	0	0	1	1	1	0	Eh	-	-	-	-	-	-	-	-	-	-
	0	0	0	0	1	1	1	1	Fh	-	-	-	-	-	-	-	-	-	-
	0	0	0	1	0	0	0	0	10h	-	-	-	-	-	-	-	-	-	-
	0	0	0	1	0	0	0	1	11h	-	-	-	-	-	-	-	-	-	-
	0	0	0	1	0	0	1	0	12h	-	-	-	-	-	-	-	-	-	-
	0	0	0	1	0	0	1	1	13h	-	-	-	-	-	-	-	-	-	-
	0	0	0	1	0	1	0	0	14h	-	-	-	-	-	-	-	-	-	-
	0	0	0	1	0	1	0	1	15h	-	-	-	-	-	-	-	-	-	-
	0	0	0	1	0	1	1	0	16h	-	-	-	-	-	-	-	-	-	-
	0	0	0	1	0	1	1	1	17h	-	-	-	-	-	-	-	-	-	-
	0	0	0	1	1	0	0	0	18h	-	-	-	-	-	-	-	-	-	-
	0	0	0	1	1	0	0	1	19h	-	-	-	-	-	-	-	-	-	-
	0	0	0	1	1	0	1	0	1Ah	-	-	-	-	-	-	-	-	-	-
	0	0	0	1	1	0	1	1	1Bh	-	-	-	-	-	-	-	-	-	-
	0	0	0	1	1	1	0	0	1Ch	-	-	-	-	-	-	-	-	-	-
	0	0	0	1	1	1	0	1	1Dh	-	-	-	-	-	-	-	-	-	-
	0	0	0	1	1	1	1	0	1Eh	-	-	-	-	-	-	-	-	-	-
